Strategy,sharpe_mean,sharpe_std,annual_return_mean,annual_return_std,volatility_mean,volatility_std,max_drawdown_mean,max_drawdown_std,sortino_mean,sortino_std
Equal Weight,39.78725312080084,0.0,1.0358104704637896,0.0,0.026033716613870363,0.0,-0.0022809359676713437,0.0,71.68238324014035,0.0
DQN,11.562437109437914,17.573397226894347,0.6416710458884693,0.9484158881550719,0.07658746058321514,0.05036948789749328,-0.12778850041612844,0.07293806796971819,50635972.41084799,101271936.07187985
DQN + NS,25.42564568148836,21.503286461635458,1.6255176813865773,1.7776028608911856,0.048926193689839664,0.02351872640628094,-0.06490695696603063,0.06931996922544686,151671330.01528907,186344377.01306784
DDPG,23.305508754081252,20.629168504534864,0.6620034741172289,0.9161662930944247,0.031836844494278795,0.02290700167211027,-0.054900269046501415,0.057089858827467636,56105645.714010134,97248664.7807295
DDPG + NS,18.37869467842058,28.241279556175765,1.008512953077593,1.7484199583775644,0.03519320874788147,0.019630214153754034,-0.0587395399499782,0.03791595694648028,89935213.37058884,179870407.61097488
